FOLIO_PERSONAL,DOCUMENTO,CUIL,APELLIDO,NOMBRE,DOMICILIO,INHIBIENTE,MONTO,CARATULA,JUZGADO,FECHA,ENTRO,ALCANCE,OBSERVACIONES,VIGENCIA
31843/23,79612428,22-50796042-5,NULL,MORENA,"DIAG. 5 1145","BANCO NACI├ôN",NULL,"COBRO DE PESOS - RAMOS ISABELLA",NULL,2018-05-13,NULL,NULL,NULL,CADUCADO
31874/5,Hospital.,24-55599814-6,SUAREZ,SIMON,"DIAGONAL SALTA 3524","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - ALVAREZ JUAN PABLO",NULL,2021-04-30,NULL,NULL,"EN REVISI├ôN",NULL
31875/20,49959606,21-11586290-8,MARTIN,LORENZO,"CAMINO SAN FERANDO DEL VALLE DE CATAMARCA 911","BANCO NACI├ôN",1143,"CONCURSO PREVENTIVO - GIMENEZ LAUTARO","JUZGADO N┬░ 23",2020-11-07,2025-07-13,NULL,NULL,NULL
31878/19,42975565,22-23548918-8,LEDESMA,"LAUTARO GABRIEL","CAMINO ALVEAR 1337","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - SILVA THIAGO NAHUEL",NULL,2023-01-29,2022-07-04,NULL,NULL,CADUCADO
31882/14,41452184,23-33424110-2,FERREYRA,"MATEO BENJAMIN","CALLE SANTIAGO DEL ESTERO 4059","FISCO DE LA PROVINCIA",255299,"CONCURSO PREVENTIVO - RODRIGUEZ FELIPE",NULL,2017-02-06,NULL,NULL,NULL,ACTIVO
31931/19,29521382,20-51577022-1,CORONEL,SANTINO,"AVENIDA CIUDAD AUT├ôNOMA DE BUENOS AIRES 4463","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - DIAZ CAMILA","JUZGADO N┬░ 16",2021-06-05,NULL,NULL,NULL,NULL
31932/18,76697224,21-12299238-0,VERA,LUCAS,"AV. 1 3274","FISCO DE LA PROVINCIA",720193,"EJECUCI├ôN FISCAL - MIRANDA PAULINA","JUZGADO N┬░ 6",2024-07-23,NULL,TOTAL,NULL,CADUCADO
32043/11,33852046,23-53924544-6,SANCHEZ,GUILLERMINA,"AV. SAN LUIS 4764","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - GUTIERREZ ANTONIA","JUZGADO N┬░ 24",2025-01-19,NULL,NULL,NULL,CADUCADO
3206/24,25898470,???,MOLINA,"JUAN IGNACIO","CALLE RIVADAVIA 4319",AFIP,218420,"COBRO DE PESOS - CASTILLO MATILDA",NULL,NULL,NULL,TOTAL,"EN REVISI├ôN",ACTIVO
32166/8,26279437,27-84879032-7,MORENO,IGNACIO,"DIAG. C├ôRDOBA 3317","BANCO NACI├ôN",735211,"COBRO DE PESOS - PEREYRA LUCA","JUZGADO N┬░ 16",2018-02-19,NULL,TOTAL,NULL,NULL
32279/24,78408550,26-32851671-2,SANCHEZ,JULIETA,"CALLE G. BROWN 1987","BANCO NACI├ôN",495634,"EJECUCI├ôN FISCAL - LOPEZ FELIPE","JUZGADO N┬░ 17",2023-11-15,NULL,NULL,NULL,CADUCADO
32399/23,63505164,24-12253713-4,MANSILLA,SANTINO,"AVENIDA SAN SALVADOR DE JUJUY 2327",AFIP,NULL,"COBRO DE PESOS - HERRERA BIANCA",NULL,2016-09-21,NULL,NULL,,CADUCADO
32417/24,66038575,26-38850965-6,GOMEZ,"JUAN IGNACIO",???,AFIP,NULL,"COBRO DE PESOS - AGUIRRE FRANCISCA","JUZGADO N┬░ 18",2022-07-07,NULL,NULL,NULL,NULL
32438/23,47378260,21-56087754-7,DUARTE,CLARA,"DIAGONAL 9 3194",AFIP,NULL,"COBRO DE PESOS - LUCERO PILAR",NULL,2022-04-07,2024-07-25,NULL,NULL,NULL
32468/17,68371165,22-19206744-8,FERREYRA,MORENA,"CALLE TUCUM├üN 3216","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - MOYANO JOAQU├ìN",NULL,2021-01-25,NULL,NULL,,CADUCADO
32485/24,38810169,25-41328564-7,ROMERO,IGNACIO,NULL,"BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - CORDOBA SANTINO","JUZGADO N┬░ 13",2015-12-01,2021-03-26,PARCIAL,NULL,CADUCADO
32504/24,NULL,27-86704093-5,PAZ,DELFINA,"DIAGONAL G. BROWN 822","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",935274,NULL,"JUZGADO N┬░ 12",2021-02-05,NULL,NULL,NULL,NULL
32510/19,71045432,25-94433101-3,CHAVEZ,"THIAGO BENJAMIN","BLV. CIUDAD AUT├ôNOMA DE BUENOS AIRES 459",NULL,NULL,"CONCURSO PREVENTIVO - MARTINEZ MILO","JUZGADO N┬░ 29",2018-11-16,NULL,PARCIAL,NULL,NULL
32523/11,10299717,NULL,CASTILLO,GUILLERMINA,"AV. SANTIAGO DEL ESTERO 3620","BANCO NACI├ôN",805880,"COBRO DE PESOS - RODRIGUEZ JUAN IGNACIO",NULL,2020-11-26,2022-04-05,NULL,NULL,NULL
32690/2,62711900,20-77204005-4,GODOY,TIZIANA,###,AFIP,NULL,NULL,"JUZGADO N┬░ 24",2015-12-01,2025-07-14,NULL,NULL,ACTIVO
32712/15,66020985,27-40232927-3,ROMERO,GIOVANNI,"DIAGONAL 5 3922","BANCO NACI├ôN",632460,"COBRO DE PESOS - RAMIREZ ALFONSINA",NULL,2020-10-31,NULL,PARCIAL,NULL,NULL
32832/8,64405525,27-86771870-3,FERNANDEZ,BRUNO,"AV. SANTA CRUZ 4809","FISCO DE LA PROVINCIA",976550,"COBRO DE PESOS - RUIZ MAIA","JUZGADO N┬░ 18",2021-09-15,NULL,NULL,"SIN OBSERVACIONES",NULL
32865/21,79783366,21-93390025-9,FIGUEROA,TIZIANO,NULL,"BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - ORTIZ ALVARO",NULL,2021-09-16,NULL,NULL,NULL,ACTIVO
32926/1,51491224,20-79025500-9,PEREZ,BENJAMIN,"AV. 1 3220","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",592644,"COBRO DE PESOS - FERREYRA OLIVIA",NULL,2024-07-01,2021-10-20,PARCIAL,NULL,ACTIVO
32953/22,97456544,27-26051558-0,FARIAS,JULIANA,"AVENIDA MENDOZA 1730",AFIP,NULL,"CONCURSO PREVENTIVO - SOSA VALENTINO","JUZGADO N┬░ 25",2021-07-07,NULL,TOTAL,NULL,CADUCADO
33065/23,17058237,21-75772485-9,MEDINA,BENJAMIN,"AVENIDA 9 3581","BANCO NACI├ôN",214105,"EJECUCI├ôN FISCAL - VELAZQUEZ FELIPE",NULL,2018-02-24,2022-09-20,PARCIAL,NULL,NULL
33084/13,41214021,24-67964000-7,SANCHEZ,"SOFIA BELEN","BOULEVARD 5 3585",AFIP,NULL,"CONCURSO PREVENTIVO - FLORES LAUTARO BENJAMIN","JUZGADO N┬░ 12",2025-04-13,2025-04-15,NULL,NULL,ACTIVO
3311/13,60111757,22-45887124-1,CASTRO,BASTIAN,"BLV. SAN JUAN 2926","BANCO NACI├ôN",702515,"CONCURSO PREVENTIVO - VILLALBA LAUTARO EZEQUIEL",NULL,NULL,NULL,NULL,NULL,NULL
33124/7,43884444,25-84409498-4,CORONEL,"LUCAS EZEQUIEL",NULL,"BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - SUAREZ JUAN FRANCISCO","JUZGADO N┬░ 26",2017-12-24,2022-06-23,TOTAL,"EN REVISI├ôN",CADUCADO
33138/4,68601371,NULL,LOPEZ,BAUTISTA,"DIAGONAL SAAVEDRA 3696",AFIP,822183,"EJECUCI├ôN FISCAL - SANCHEZ BENICIO","JUZGADO N┬░ 2",2019-04-04,NULL,PARCIAL,NULL,NULL
33145/14,10179499,26-35170912-1,RODRIGUEZ,CATALINA,"CAMINO SAN MIGUEL DE TUCUM├üN 3781","FISCO DE LA PROVINCIA",784902,"EJECUCI├ôN FISCAL - SILVA JAZM├ìN","JUZGADO N┬░ 27",2018-08-19,2020-11-30,NULL,NULL,NULL
33217/2,67847992,22-72349518-5,RAMOS,LUCIA,"AV. SAN JUAN 801",NULL,615922,"CONCURSO PREVENTIVO - AYALA TIZIANO","JUZGADO N┬░ 8",NULL,NULL,TOTAL,NULL,NULL
33241/4,52458517,NULL,CORREA,GONZALO,NULL,"FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GIMENEZ LORENZO",NULL,2021-09-05,NULL,PARCIAL,NULL,NULL
33377/12,91069629,25-82703530-7,VILLALBA,ZOE,"CAMINO BUENOS AIRES 1959",NULL,735388,"CONCURSO PREVENTIVO - GONZALEZ VALENTINO","JUZGADO N┬░ 9",2024-05-05,NULL,NULL,"EN REVISI├ôN",NULL
33425/21,88437166,23-65654203-4,MARTINEZ,MARTINA,"AVENIDA VIEDMA 3851","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - VAZQUEZ LUZ MILAGROS","JUZGADO N┬░ 25",2020-11-06,NULL,PARCIAL,NULL,NULL
33469/9,96094296,Felipe.,OLIVERA,"VALENTINA ","AV. 2 3205","BANCO NACI├ôN",553493,"CONCURSO PREVENTIVO - PERALTA EMILIA","JUZGADO N┬░ 22",2025-05-29,2023-06-09,NULL,NULL,ACTIVO
33505/15,30528962,26-34112181-1,RIVERO,"JUAN PABLO","CALLE SAN SALVADOR DE JUJUY 3941",NULL,297487,"EJECUCI├ôN FISCAL - BARRIOS TIZIANO","JUZGADO N┬░ 1",2017-12-03,NULL,NULL,NULL,NULL
3351/12,49434578,26-59860035-4,CAMPOS,CATALINA,"DIAGONAL LA PAMPA 1405","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",109967,"COBRO DE PESOS - CABRERA LUCIA","JUZGADO N┬░ 8",2019-03-07,NULL,NULL,NULL,ACTIVO
33592/20,42483388,25-59943796-8,ORTIZ,DELFINA,"DIAGONAL R├ìO NEGRO 4580","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",969106,"COBRO DE PESOS - ACOSTA LAUTARO","JUZGADO N┬░ 5",2016-05-24,NULL,NULL,"SIN OBSERVACIONES",CADUCADO
33607/20,25240294,24-96355715-4,BARRIOS,ANTONELLA,"DIAG. 1 885","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",642660,"COBRO DE PESOS - LUCERO CATALINA",NULL,2015-09-06,2023-06-14,PARCIAL,NULL,CADUCADO
33613/2,25062163,27-14189666-3,QUIROGA,SOFIA,"CAMINO TIERRA DEL FUEGO 564","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - LOPEZ JULIAN","JUZGADO N┬░ 7",2017-06-13,2024-09-15,NULL,NULL,ACTIVO
33698/7,60206293,21-11122019-4,CHAVEZ,GUILLERMINA,"CAMINO CHUBUT 3038","FISCO DE LA PROVINCIA",66538,"EJECUCI├ôN FISCAL - AGUERO VALENTINO",NULL,2015-10-01,NULL,PARCIAL,NULL,NULL
33715/4,20906731,27-85522777-4,GOMEZ,DELFINA,"AVENIDA LA RIOJA 3855","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - GODOY MARTINA","JUZGADO N┬░ 28",2021-05-12,NULL,PARCIAL,NULL,ACTIVO
33774/15,26472438,23-67776495-2,LOPEZ,PEDRO,"AV. RIVADAVIA 573","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - MARTINEZ JULIETA",NULL,2022-11-25,NULL,PARCIAL,NULL,ACTIVO
33792/18,NULL,27-33520677-2,RIVERO,"MARIA EMILIA","CALLE SAN JUAN 1289","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - MU├æOZ JUAN CRUZ",NULL,2016-06-09,NULL,TOTAL,NULL,NULL
33828/14,51318495,26-47351474-6,PEREZ,"SANTIAGO BENJAMIN","CAMINO 5 3743","FISCO DE LA PROVINCIA",892382,"CONCURSO PREVENTIVO - HERRERA THIAGO BENJAMIN","JUZGADO N┬░ 7",2016-01-12,NULL,NULL,NULL,CADUCADO
33875/4,80389438,NULL,MOLINA,MARTINA,NULL,"FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - PEREZ FELIPE",NULL,2023-11-02,NULL,NULL,NULL,NULL
33926/19,57701015,22-21444847-6,MEDINA,SALVADOR,NULL,"BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - RUIZ CIRO BENJAMIN",NULL,2021-03-14,NULL,PARCIAL,NULL,ACTIVO
33940/25,95223417,27-85913715-6,RUIZ,"IAN EZEQUIEL","CALLE SAN LUIS 3338",NULL,NULL,"COBRO DE PESOS - GONZALEZ MARIA BELEN","JUZGADO N┬░ 26",2025-07-07,NULL,NULL,NULL,CADUCADO
33958/11,88068925,21-53392721-9,MARTINEZ,NULL,"AV. J.J. CASTELLI 1466",AFIP,NULL,"CONCURSO PREVENTIVO - SUAREZ LUC├ìA",NULL,2023-03-09,2020-11-21,NULL,"SIN OBSERVACIONES",CADUCADO
33958/24,34473886,20-60681047-1,MALDONADO,SOFIA,"CALLE C├ôRDOBA 4182",AFIP,NULL,"CONCURSO PREVENTIVO - RODRIGUEZ AGOSTINA","JUZGADO N┬░ 19",2016-05-27,2020-07-07,NULL,"EN REVISI├ôN",CADUCADO
34008/21,13898353,23-46907013-6,LOPEZ,JOAQUIN,"AV. RAWSON 1854","BANCO NACI├ôN",884374,"CONCURSO PREVENTIVO - AGUIRRE AGOSTINA",NULL,2020-08-16,NULL,NULL,NULL,ACTIVO
34023/21,65407211,23-97858471-6,ALVAREZ,"LUCAS EZEQUIEL","DIAG. 8 2623","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - MARTIN ABRIL",NULL,2023-10-22,NULL,NULL,NULL,CADUCADO
34095/24,30310701,20-29150820-9,NU├æEZ,EMMA,"CALLE SAN JUAN 4357","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - PEREZ BAUTISTA BENJAMIN","JUZGADO N┬░ 10",2016-10-27,NULL,NULL,NULL,NULL
3412/14,17207788,21-62918405-9,MAIDANA,ANGELINA,"Juez deja.",AFIP,930516,"CONCURSO PREVENTIVO - GOMEZ BIANCA","JUZGADO N┬░ 24",2023-09-13,NULL,TOTAL,"SIN OBSERVACIONES",CADUCADO
34272/6,24699427,26-18526700-4,MAIDANA,EMMA,"AVENIDA SAAVEDRA 2837","BANCO NACI├ôN",7877,"CONCURSO PREVENTIVO - MANSILLA DELFINA","JUZGADO N┬░ 17",2018-12-16,NULL,TOTAL,"SIN OBSERVACIONES",ACTIVO
34325/10,61931314,21-28601980-6,CORREA,BAUTISTA,"CALLE SAN LUIS 3299","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - BUSTOS CAMILO","JUZGADO N┬░ 24",2021-11-13,NULL,NULL,NULL,ACTIVO
34355/5,49909072,NULL,PAZ,"JUAN CRUZ","AV. SANTIAGO DEL ESTERO 381",NULL,382307,"COBRO DE PESOS - BENITEZ JUAN IGNACIO","JUZGADO N┬░ 10",2018-01-18,NULL,NULL,NULL,CADUCADO
34436/5,80847727,25-71133272-8,MIRANDA,"JUAN MANUEL","AVENIDA PTE. PER├ôN 333",AFIP,NULL,"CONCURSO PREVENTIVO - PERALTA MILO",NULL,2016-11-12,2023-07-30,NULL,,NULL
34522/19,P├║blico.,NULL,QUIROGA,JULIAN,"DIAGONAL G. BROWN 3062",NULL,974387,"COBRO DE PESOS - GIMENEZ SANTINO BENJAMIN","JUZGADO N┬░ 2",2020-03-28,NULL,TOTAL,NULL,NULL
34542/23,55304428,23-32843411-7,TOLEDO,SANTIAGO,"AVENIDA PARAN├ü 474",AFIP,100658,NULL,NULL,NULL,NULL,TOTAL,NULL,NULL
34630/15,72404335,20-53215180-2,NULL,SOFIA,"DIAGONAL SAN LUIS 2881",NULL,13163,"COBRO DE PESOS - CORDOBA BENJAMIN","JUZGADO N┬░ 27",2022-02-18,NULL,NULL,NULL,NULL
34651/10,86202325,25-23788632-4,FIGUEROA,JUAN,"BOULEVARD ALVEAR 683",AFIP,563945,NULL,"JUZGADO N┬░ 19",2020-01-15,2024-11-15,NULL,NULL,ACTIVO
34656/6,52139452,NULL,SANCHEZ,"MIA MORENA","CAMINO 9 4442","BANCO NACI├ôN",340656,"EJECUCI├ôN FISCAL - GODOY TOMAS",NULL,2021-07-27,2022-01-07,NULL,,ACTIVO
34705/7,66489884,26-98654818-3,GONZALEZ,CIRO,NULL,AFIP,NULL,"COBRO DE PESOS - RIOS CAMILA","JUZGADO N┬░ 24",2019-04-04,NULL,NULL,NULL,NULL
34710/22,27135330,25-38814687-7,RUIZ,RENATA,"DIAGONAL 4 1330","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - LOPEZ VALENTINO",NULL,NULL,2022-04-30,NULL,NULL,CADUCADO
34719/9,NULL,21-97541283-8,TORRES,MAXIMILIANO,"AVENIDA SAN FERANDO DEL VALLE DE CATAMARCA 75",AFIP,35315,NULL,"JUZGADO N┬░ 6",2019-06-15,NULL,NULL,NULL,NULL
34828/15,82921077,NULL,PEREZ,BRUNO,"CALLE 8 2282","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",181047,"EJECUCI├ôN FISCAL - GOMEZ VALENTINO","JUZGADO N┬░ 14",2019-09-10,2024-05-21,NULL,NULL,NULL
3492/15,81863006,21-57002252-7,RUIZ,BRUNO,"AVENIDA BUENOS AIRES 491","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",29131,"EJECUCI├ôN FISCAL - ESCOBAR JOAQUIN",NULL,2021-07-30,NULL,TOTAL,NULL,ACTIVO
3493/19,84890043,23-94131114-4,LEDESMA,"JUAN BAUTISTA","AVENIDA ROSARIO 677","BANCO NACI├ôN",NULL,NULL,"JUZGADO N┬░ 14",NULL,NULL,NULL,,ACTIVO
34935/22,73257107,23-10235531-3,BENITEZ,MATEO,"DIAG. LA RIOJA 3828","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - ROJAS THIAGO VALENTIN","JUZGADO N┬░ 8",2017-02-11,2024-12-30,NULL,,NULL
34939/4,79023432,20-40441304-4,CHAVEZ,"MATEO JOAQUIN",NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"EJECUCI├ôN FISCAL - PAZ FRANCISCA","JUZGADO N┬░ 4",2016-10-03,NULL,NULL,"SIN OBSERVACIONES",NULL
3496/2,15865559,26-95717962-6,LOPEZ,LUCIANA,"DIAGONAL MENDOZA 4004","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - VAZQUEZ EMMA","JUZGADO N┬░ 5",2022-11-05,NULL,PARCIAL,NULL,CADUCADO
34966/8,12626352,NULL,GOMEZ,JOAQUIN,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",358260,NULL,NULL,2022-04-28,2023-11-24,NULL,NULL,NULL
3499/24,29928117,23-66270734-6,SANCHEZ,BENJAMIN,"AV. J.J. CASTELLI 1671","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - RODRIGUEZ ANGELINA","JUZGADO N┬░ 21",2018-02-06,2024-09-11,NULL,,NULL
35001/17,87086857,27-36122030-8,GUZMAN,"SANTINO NICOLAS","AVENIDA COMODORO RIVADAVIA 3931",AFIP,NULL,"COBRO DE PESOS - NAVARRO JUAN MANUEL",NULL,2017-05-04,2024-08-03,PARCIAL,,NULL
35071/3,36524022,25-48220106-6,VERA,MATEO,"AV. LA RIOJA 4849","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,NULL,"JUZGADO N┬░ 25",NULL,2022-04-23,NULL,NULL,NULL
35138/24,33896370,27-81456774-2,DOMINGUEZ,BENJAMIN,NULL,"FISCO DE LA PROVINCIA",774354,"COBRO DE PESOS - GOMEZ BENJAMIN","JUZGADO N┬░ 8",2016-11-17,NULL,NULL,NULL,ACTIVO
35158/13,84798806,22-74977527-2,FERNANDEZ,JOAQUIN,"CALLE 4 2984","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - GONZALEZ JOSEFINA","JUZGADO N┬░ 20",2015-08-17,2020-10-05,PARCIAL,NULL,ACTIVO
35167/4,88942469,21-16665889-0,VAZQUEZ,"MATEO VALENTIN","AV. TUCUM├üN 2232","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - PERALTA SOF├ìA","JUZGADO N┬░ 19",2022-03-22,NULL,PARCIAL,NULL,ACTIVO
35237/11,81110626,27-99004201-7,RAMOS,UMA,"CALLE SANTA ROSA 1517",NULL,NULL,"COBRO DE PESOS - GOMEZ SANTINO","JUZGADO N┬░ 6",2022-09-06,2024-12-20,PARCIAL,NULL,CADUCADO
3524/9,49772064,26-91377462-3,JUAREZ,PEDRO,"AV. ALEM 1484","BANCO NACI├ôN",68475,"EJECUCI├ôN FISCAL - MOLINA RAFAEL","JUZGADO N┬░ 22",2023-09-10,NULL,PARCIAL,NULL,ACTIVO
35276/5,13676117,22-50298186-0,SOSA,SOFIA,"DIAGONAL LA PLATA 4891","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - VARGAS FRANCISCO","JUZGADO N┬░ 19",2022-06-26,2022-05-09,NULL,NULL,NULL
35295/1,75474311,25-94974717-0,GOMEZ,FELIPE,"AVENIDA LA PAMPA 1103",AFIP,229598,"CONCURSO PREVENTIVO - LOPEZ DANTE","JUZGADO N┬░ 8",2023-10-17,2020-05-09,NULL,NULL,CADUCADO
35348/19,92699417,NULL,NULL,"LAUTARO NAHUEL","AVENIDA ALVEAR 3829","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - MARTINEZ GONZALO","JUZGADO N┬░ 18",2018-08-12,2021-11-20,NULL,NULL,CADUCADO
35390/10,39729901,26-26080906-5,MOLINA,OLIVIA,"CALLE 3 881",AFIP,369266,"CONCURSO PREVENTIVO - RODRIGUEZ VALENTINA","JUZGADO N┬░ 25",2020-10-29,NULL,NULL,NULL,ACTIVO
3551/13,24480364,23-55697782-2,GOMEZ,SALVADOR,"AV. SANTA CRUZ 4143","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GOMEZ LAUTARO",NULL,2018-03-22,NULL,NULL,NULL,ACTIVO
35515/3,33857685,26-46095702-8,SUAREZ,"JUAN MANUEL","AV. SANTIAGO DEL ESTERO 451","FISCO DE LA PROVINCIA",498282,"COBRO DE PESOS - CHAVEZ EMMA","JUZGADO N┬░ 10",2015-09-19,2021-12-04,NULL,NULL,NULL
35537/3,57128934,25-72108520-4,0000,VALENTINO,"DIAGONAL R├ìO GALLEGOS 2539","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - LEDESMA LUCAS","JUZGADO N┬░ 16",2019-01-06,NULL,TOTAL,"SIN OBSERVACIONES",ACTIVO
35563/8,33021322,22-54813945-5,SANCHEZ,FRANCISCO,"DIAGONAL J.J. CASTELLI 370","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - BRAVO JOSEFINA","JUZGADO N┬░ 18",2021-08-22,NULL,NULL,NULL,ACTIVO
35607/20,80164219,###,NU├æEZ,VICENTE,"CALLE SAN JUAN 1509",AFIP,NULL,"COBRO DE PESOS - NU├æEZ JUAN IGNACIO",NULL,2016-01-27,NULL,NULL,NULL,ACTIVO
35636/1,16713088,20-77097671-8,DIAZ,FRANCO,"CALLE RIVADAVIA 3297",AFIP,309466,NULL,"JUZGADO N┬░ 15",2024-06-26,NULL,NULL,NULL,CADUCADO
35803/16,83136851,22-22922501-2,GOMEZ,"ANA PAULA","DIAGONAL MITRE 2459","BANCO NACI├ôN",145561,"CONCURSO PREVENTIVO - GUTIERREZ TOM├ÇS",NULL,NULL,2023-07-17,NULL,NULL,CADUCADO
35826/22,53491123,21-43687279-9,CASTILLO,FELIPE,"AV. SAN SALVADOR DE JUJUY 1776","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - RAMIREZ BRUNO","JUZGADO N┬░ 28",NULL,2022-10-31,PARCIAL,"EN REVISI├ôN",NULL
35847/24,18092949,20-43633960-9,AGUIRRE,BENJAMIN,"AVENIDA SALTA 748","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - OJEDA CATALINA",NULL,2017-01-14,NULL,NULL,NULL,ACTIVO
35847/9,27452581,23-12915291-3,PAEZ,"JUAN CRUZ","AV. 7 3129","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - LUCERO UMA ","JUZGADO N┬░ 10",2020-09-03,NULL,NULL,NULL,CADUCADO
35901/22,85539438,27-39640367-2,FERNANDEZ,ISABELLA,Nada.,AFIP,NULL,"EJECUCI├ôN FISCAL - CASTILLO LORENZO",NULL,2016-04-12,2020-06-08,NULL,NULL,NULL
35969/17,21348959,26-87561528-4,SILVA,BENJAMIN,"AVENIDA TIERRA DEL FUEGO 3539","FISCO DE LA PROVINCIA",262799,"EJECUCI├ôN FISCAL - ALVAREZ MIA JAZMIN","JUZGADO N┬░ 30",2022-08-29,2023-02-16,TOTAL,NULL,NULL
35977/3,17037730,22-25480698-0,RODRIGUEZ,"LAUTARO BENJAMIN","AVENIDA RESISTENCIA 2065","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",554251,NULL,"JUZGADO N┬░ 17",2022-02-13,NULL,NULL,NULL,NULL
36017/23,46864037,21-94209817-1,GIMENEZ,MIA,"BOULEVARD VIEDMA 3786","BANCO NACI├ôN",583127,"COBRO DE PESOS - PEREYRA FRANCESCA","JUZGADO N┬░ 22",2018-03-26,NULL,NULL,NULL,NULL
36068/18,NULL,NULL,QUIROGA,EMMA,"DIAGONAL MISIONES 901",AFIP,737238,"CONCURSO PREVENTIVO - GIMENEZ PEDRO",NULL,2020-02-15,NULL,NULL,,NULL
36077/5,99629696,22-63942536-3,GOMEZ,AGUST├ìN,"CALLE SAN MARTIN 1810",AFIP,NULL,"EJECUCI├ôN FISCAL - CASTILLO THIAGO AGUSTIN",NULL,2018-11-30,NULL,NULL,NULL,NULL
36116/24,10575799,21-22739233-8,GONZALEZ,LISANDRO,NULL,NULL,NULL,"EJECUCI├ôN FISCAL - MANSILLA RENZO","JUZGADO N┬░ 28",2021-04-05,2022-11-14,PARCIAL,NULL,NULL
36123/6,84617271,21-43193708-6,HERRERA,JULIETA,"DIAGONAL SAN SALVADOR DE JUJUY 400","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - TORRES JUAN IGNACIO","JUZGADO N┬░ 8",2021-08-21,2024-02-18,NULL,NULL,NULL
36194/16,84584299,21-75428192-4,MARTINEZ,CATALINA,"BOULEVARD BELGRANO 849","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GONZALEZ ZOE VALENTINA","JUZGADO N┬░ 13",2016-02-16,2024-01-21,NULL,NULL,NULL
36195/22,69532646,23-25860440-5,RODRIGUEZ,NULL,"CAMINO OMAR NU├æEZ 2180",AFIP,NULL,"EJECUCI├ôN FISCAL - ALVAREZ SANTINO EZEQUIEL","JUZGADO N┬░ 30",2017-12-29,NULL,NULL,NULL,CADUCADO
36207/10,77623249,NULL,HERRERA,VALENTINO,"BLV. MENDOZA 906","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"EJECUCI├ôN FISCAL - SOSA BAUTISTA","JUZGADO N┬░ 17",2019-08-17,NULL,TOTAL,NULL,NULL
